Name,desc,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
kml_25,TAMPINES MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.942723497055,1.35459633902671
kml_26,EXPO MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.962161022295,1.33595097134532
kml_27,BEDOK RESERVOIR MRT STATION,2,BEDOK RESERVOIR,BEDOK,EAST REGION,103.932886822111,1.33634776068318
kml_28,BENCOOLEN MRT STATION,3,BRAS BASAH,MUSEUM,CENTRAL REGION,103.849560477591,1.2981994004476
kml_29,EXPO MRT STATION,5,XILIN,TAMPINES,EAST REGION,103.963100681915,1.33483488852459
kml_30,TAMPINES EAST MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.955704711307,1.35555317161951
kml_31,MATTAR MRT STATION,2,MACPHERSON,GEYLANG,CENTRAL REGION,103.882732067092,1.32725141385722
kml_32,TAMPINES MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.942658810515,1.35585344491815
kml_33,UPPER CHANGI MRT STATION,4,SIMEI,TAMPINES,EAST REGION,103.961328480755,1.3418611975957
kml_34,TAMPINES EAST MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.95517001378,1.35558822628637
kml_35,JALAN BESAR MRT STATION,2,LITTLE INDIA,ROCHOR,CENTRAL REGION,103.855244564174,1.30546728021972
kml_36,BEDOK NORTH MRT STATION,1,KAKI BUKIT,BEDOK,EAST REGION,103.918049824275,1.3351262662412
kml_37,UPPER CHANGI MRT STATION,4,SIMEI,TAMPINES,EAST REGION,103.960960630621,1.34200654243122
kml_38,BEDOK NORTH MRT STATION,2,BEDOK RESERVOIR,BEDOK,EAST REGION,103.919062823817,1.33416607470088
kml_39,BENDEMEER MRT STATION,8,KALLANG BAHRU,KALLANG,CENTRAL REGION,103.86321923139499,1.31348072532479
kml_40,TAMPINES WEST MRT STATION,3,TAMPINES WEST,TAMPINES,EAST REGION,103.938196740087,1.34563058756899
kml_41,MACPHERSON MRT STATION,2,MACPHERSON,GEYLANG,CENTRAL REGION,103.888615211543,1.3261927778495
kml_42,,1,ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION,103.775761545572,1.33998187411053
kml_43,,2,SWISS CLUB,BUKIT TIMAH,CENTRAL REGION,103.784561584457,1.33597604545268
kml_44,,2,SWISS CLUB,BUKIT TIMAH,CENTRAL REGION,103.796848178247,1.33152130161709
kml_45,,5,HILLCREST,BUKIT TIMAH,CENTRAL REGION,103.807800873967,1.32614615862711
kml_46,,4,TYERSALL,TANGLIN,CENTRAL REGION,103.815914145423,1.32268461266258
kml_47,,1,NASSIM,TANGLIN,CENTRAL REGION,103.825678128251,1.32035084510273
kml_48,,3,NEWTON CIRCUS,NEWTON,CENTRAL REGION,103.838242381698,1.31361726910534
kml_49,,7,KAMPONG JAVA,KALLANG,CENTRAL REGION,103.848304399567,1.30768353693952
kml_50,,2,LITTLE INDIA,ROCHOR,CENTRAL REGION,103.85310433564,1.30421477706176
kml_51,,11,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.852646559876,1.27977345550125
kml_52,,11,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.852478046605,1.27952791035319
kml_53,,11,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.852908128533,1.27960131790366
kml_54,,11,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.853152091629,1.2794443688179
kml_55,,11,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.853013759293,1.27917604080022
kml_56,,5,RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION,103.84884165634,1.28225066391257
kml_57,,5,RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION,103.848773328456,1.28249727512131
kml_58,,8,ONE NORTH,QUEENSTOWN,CENTRAL REGION,103.787784810841,1.30007470313838
kml_59,,11,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CENTRAL REGION,103.784490452041,1.29398478486961
kml_60,,11,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CENTRAL REGION,103.784534656764,1.2932188029236
kml_61,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.848999982017,1.3068547372912
kml_62,,5,JELEBU,BUKIT PANJANG,WEST REGION,103.762034361123,1.37876623736738
kml_63,,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.744559999977,1.38540000001446
kml_64,,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.744469999998,1.38460000002529
kml_65,,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.744470000019,1.38572999998031
kml_66,,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.744110000023,1.38537000001495
kml_67,,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.744620000025,1.38499999998039
kml_68,,2,GUL CIRCLE,PIONEER,WEST REGION,103.660444143751,1.31903226645161
kml_69,,3,TUAS NORTH,TUAS,WEST REGION,103.659434945832,1.31883718316129
kml_70,,4,TUAS BAY,TUAS,WEST REGION,103.648958741698,1.32076381710386
kml_71,,3,TUAS NORTH,TUAS,WEST REGION,103.64928678927,1.32124359610994
kml_72,UBI MRT STATION,3,KAMPONG UBI,GEYLANG,CENTRAL REGION,103.898585570826,1.32983077044012
kml_73,FORT CANNING MRT STATION,2,FORT CANNING,MUSEUM,CENTRAL REGION,103.844425031143,1.29283027594677
kml_74,BEDOK NORTH MRT STATION,2,BEDOK RESERVOIR,BEDOK,EAST REGION,103.919134302617,1.33437249012233
