school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD Singapore,368051,TOA PAYOH,NORTH,103.8782839,1.341737,10,BIDADARI,TOA PAYOH,CENTRAL REGION
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK Singapore,545079,SENG KANG,NORTH,103.8899803,1.389411,4,ANCHORVALE,SENGKANG,NORTH-EAST REGION
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE Singapore,288683,BUKIT TIMAH,WEST,103.8022688,1.3306486,5,HILLCREST,BUKIT TIMAH,CENTRAL REGION
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13 Singapore,569405,ANG MO KIO,NORTH,103.8339743,1.3735892,6,KEBUN BAHRU,ANG MO KIO,NORTH-EAST REGION
MARYMOUNT CONVENT SCHOOL,20 MARYMOUNT ROAD Singapore,297754,TOA PAYOH,SOUTH,103.8399377,1.3406992,1,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1 Singapore,408940,GEYLANG,EAST,103.9013422,1.3274138,3,KAMPONG UBI,GEYLANG,CENTRAL REGION
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6 Singapore,569845,ANG MO KIO,NORTH,103.8431,1.382254,9,YIO CHU KANG WEST,ANG MO KIO,NORTH-EAST REGION
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD Singapore,139649,QUEENSTOWN,SOUTH,103.784589,1.3017793,10,DOVER,QUEENSTOWN,CENTRAL REGION
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32 Singapore,529283,TAMPINES,EAST,103.9565479,1.3544057,2,TAMPINES EAST,TAMPINES,EAST REGION
SINGAPORE SPORTS SCHOOL,1 CHAMPIONS WAY Singapore,737913,WOODLANDS,NORTH,103.789056,1.426703,4,WOODLANDS SOUTH,WOODLANDS,NORTH REGION
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1 Singapore,129957,CLEMENTI,WEST,103.7691976,1.3065479,7,CLEMENTI WOODS,CLEMENTI,WEST REGION
"SCHOOL OF THE ARTS, SINGAPORE",1 ZUBIR SAID DRIVE Singapore,227968,CENTRAL,SOUTH,103.848618,1.299447,1,DHOBY GHAUT,MUSEUM,CENTRAL REGION
NORTHLIGHT SCHOOL,151 TOWNER ROAD Singapore,327830,MARINE PARADE,SOUTH,103.8576769,1.3207365,1,BENDEMEER,KALLANG,CENTRAL REGION
ASSUMPTION PATHWAY SCHOOL,30 CASHEW ROAD Singapore,679697,BUKIT PANJANG,WEST,103.7667515,1.3705274,6,DAIRY FARM,BUKIT PANJANG,WEST REGION
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 TECHNOLOGY DRIVE Singapore,138572,CLEMENTI,WEST,103.7742638,1.3136526,9,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24 Singapore,609561,JURONG EAST,WEST,103.7431328,1.34309,2,YUHUA EAST,JURONG EAST,WEST REGION
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64 Singapore,737758,WOODLANDS,NORTH,103.8043528,1.4364631,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
