school_name,address,postal_code,dgp_code,zone_code,lon,lat
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 Singapore,569920,ANG MO KIO,SOUTH,103.8392649,1.3694167
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5 Singapore,569878,ANG MO KIO,SOUTH,103.843181,1.376395
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32 Singapore,569299,ANG MO KIO,SOUTH,103.8505239,1.365396
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3 Singapore,469300,BEDOK,EAST,103.945488,1.317502
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1 Singapore,739067,WOODLANDS,NORTH,103.78577,1.432693
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52 Singapore,569228,ANG MO KIO,SOUTH,103.851863,1.3714789
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD Singapore,768679,YISHUN,NORTH,103.834125,1.4334484
STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE Singapore,198423,CENTRAL,SOUTH,103.8572692,1.304116
FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE Singapore,797701,SENG KANG,NORTH,103.873919,1.389948
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10 Singapore,569730,ANG MO KIO,SOUTH,103.8537829,1.3600534
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52 Singapore,649295,JURONG WEST,WEST,103.718911,1.346187
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE Singapore,128104,CLEMENTI,WEST,103.7568857,1.3126176
ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA Singapore,169485,BUKIT MERAH,SOUTH,103.8260335,1.2843455
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12 Singapore,529426,TAMPINES,EAST,103.94402,1.349774
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21 Singapore,529392,TAMPINES,EAST,103.951438,1.350835
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1 Singapore,538882,HOUGANG,SOUTH,103.8901506,1.3578717
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71 Singapore,768515,YISHUN,NORTH,103.830502,1.4276007
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1 Singapore,739063,WOODLANDS,NORTH,103.778088,1.4302
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21 Singapore,659634,BUKIT BATOK,WEST,103.75348,1.3459352
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE Singapore,349700,TOA PAYOH,SOUTH,103.8754605,1.3356131
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET Singapore,458436,BEDOK,EAST,103.9236436,1.3195034
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN Singapore,237993,CENTRAL,SOUTH,103.8362883,1.2938988
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD Singapore,479239,BEDOK,EAST,103.9114083,1.3309135
