Block_No,Street_Name,Postal_Code,1_Room,2_Room,Application_Zone
123,Bt Merah View,151123,Y,N,Bukit Merah/Jurong
124,Kim Tian Pl,160124,Y,N,Bukit Merah/Jurong
1,Jln Kukoh,161001,N,Y,Bukit Merah/Jurong
2,Jln Kukoh,163002,Y,N,Bukit Merah/Jurong
3,Jln Kukoh,161003,Y,N,Bukit Merah/Jurong
4,Jln Minyak,163004,N,Y,Bukit Merah/Jurong
5,Banda St,050005,Y,N,Bukit Merah/Jurong
5,Jln Minyak,161005,N,Y,Bukit Merah/Jurong
6,Jln Minyak,162006,N,Y,Bukit Merah/Jurong
11,York Hill,162011,Y,Y,Bukit Merah/Jurong
12,York Hill,163012,Y,Y,Bukit Merah/Jurong
13,York Hill,162013,Y,Y,Bukit Merah/Jurong
25,Jln Berseh,200025,N,Y,Bedok/Tampines
51,Chin Swee Rd,160051,Y,N,Bukit Merah/Jurong
52,Chin Swee Rd,160052,Y,Y,Bukit Merah/Jurong
333,Kreta Ayer Rd,080333,N,Y,Bukit Merah/Jurong
3,Marsiling Rd,730003,Y,N,Woodlands
4,Marsiling Rd,730004,Y,N,Woodlands
16,Marsiling Lane,730016,N,Y,Woodlands
180C,Marsiling Rd,733180,Y,Y,Woodlands
185A,Woodlands St 13,731185,Y,Y,Woodlands
218,Marsiling Cres,730218,N,Y,Woodlands
569A,Champions Way,731569,Y,Y,Woodlands
569B,Champions Way,732569,Y,Y,Woodlands
693D,Woodlands Ave 6,734693,Y,Y,Woodlands
785A,Woodlands Rise,731785,Y,Y,Woodlands
806,Woodlands St 81,730806,Y,Y,Woodlands
852,Woodlands St 83,730852,Y,Y,Woodlands
106A,Canberra St,751106,Y,Y,Woodlands
106B,Canberra St,752106,Y,Y,Woodlands
363C,Sembawang Crescent,753363,Y,Y,Woodlands
364A,Sembawang Crescent,751364,Y,Y,Woodlands
364B,Sembawang Crescent,752364,Y,Y,Woodlands
462,Sembawang Dr,750462,Y,Y,Woodlands
512,Wellington Circle,750512,Y,Y,Woodlands
513,Wellington Circle,750513,Y,Y,Woodlands
108,Yishun Ring Rd,760108,Y,Y,Woodlands
162,Yishun St 11,760162,Y,Y,Woodlands
269A,Yishun St 22,761269,Y,Y,Woodlands
269B,Yishun St 22,762269,Y,Y,Woodlands
436,Yishun Ave 11,760436,Y,Y,Woodlands
438,Yishun Ave 11,760438,Y,N,Woodlands
